CD_MUN,V17000001,V17000002,V17000003,V17000004,V17000005,V17000006,V17000007,V17000008,V17000009,V17000010,V17000011,V17000012,V17000013,V17000014,V17000015,V17000016,V17000017,V17000018,V17000019,V17000020,V17000021,V17000022,V17000023,V17000024,V17000025,V17000026,V17000027,V17000028,V17000029,V17000030,V17000031,V17000032,V17000033,V17000034,V17000035,V17000036,V17000037,V17000038,V17000039,V17000040,V17000041,V17000042,V17000043,V17000044,V17000045,V17000046,V17000047,V17000048,V17000049,V17000050,V17000051,V17000052,V17000053,V17000054,V17000055,V17000056,V17000057,V17000058,V17000059,V17000060,V17000061,V17000062,V17000063,V17000064,V17000065,V17000066,V17000067,V17000068,V17000069,V17000070,V17000071,V17000072,V17000073,V17000074,V17000075,V17000076,V17000077,V17000078,V17000079,V17000080,V17000081,V17000082,V17000083,V17000084,V17000085,V17000086,V17000087,V17000088,V17000089,V17000090,V17000091,V17000092,V17000093,V17000094,V17000095,V17000096,V17000097,V17000098,V17000099,V17000100,V17000101,V17000102,V17000103,V17000104,V17000105,V17000106,V17000107,V17000108,V17000109,V17000110,V17000111,V17000112,V17000113,V17000114,V17000115,V17000116,V17000117,V17000118,V17000119,V17000120,V17000121,V17000122,V17000123,V17000124,V17000125,V17000126,V17000127,V17000128,V17000129,V17000130,V17000131,V17000132,V17000133,V17000134,V17000135,V17000136,V17000137,V17000138,V17000139,V17000140,V17000141,V17000142,V17000143,V17000144,V17000145,V17000146,V17000147,V17000148,V17000149,V17000150,V17000151,V17000152,V17000153,V17000154,V17000155,V17000156,V17000157,V17000158,V17000159,V17000160,V17000161,V17000162,V17000163,V17000164,V17000165,V17000166,V17000167
3543501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,12.0,4.0,358.0,1258.0,21.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,1.0,400.0,830.0,9.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,12.0,12.0,608.0,946.0,30.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,13.0,11.0,505.0,1103.0,23.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543907,3.0,0.0,0.0,0.0,93.59,6.41,100.0,93.59,88.64,4.95,0.0,0.0,0.0,100.0,0.0,0.0,0.0,93.2,6.8,100.0,83.01,77.18,5.83,10.19,8.25,1.94,100.0,0.0,0.0,0.0,511.0,35.0,546.0,511.0,484.0,27.0,0.0,0.0,0.0,546.0,0.0,0.0,0.0,192.0,14.0,206.0,171.0,159.0,12.0,21.0,17.0,4.0,206.0,2584.27,546.0,0.211,0.0,0.0,0.0,12.0,34.0,1.0,21.0,773.0,192.0,452.0,11779.0,16290.0,379.0,2715.0,0.0,0.0,0.0,0.1,0.21,0.26,0.77,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,171.0,0.0,171.0,0.0,0.0,0.0,42.11,0.58,100.0,2.92,2.92,2.92,0.58,0.0,47.95,86.55,3.51,9.94,72.0,1.0,171.0,5.0,5.0,5.0,1.0,0.0,82.0,148.0,6.0,17.0,19.88,97.66,88.89,8.19,0.58,0.0,0.0,100.0,1.75,0.58,12.28,7.6,2.34,74.85,0.0,1.17,1.75,0.0,34.0,167.0,152.0,14.0,1.0,0.0,0.0,171.0,3.0,1.0,21.0,13.0,4.0,128.0,0.0,2.0,3.0,0.0,0.0,100.0,92.4,87.72,4.68,4.68,0.58,2.34,0.0,171.0,158.0,150.0,8.0,8.0,1.0,4.0
3544004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,45.0,29.0,1821.0,2993.0,85.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544103,7.0,0.56,0.0,0.56,99.44,0.0,100.0,99.44,89.87,9.57,0.0,0.0,0.0,99.44,0.05,0.0,0.05,99.95,0.0,100.0,89.9,80.92,8.98,10.05,8.69,1.37,99.95,29.0,0.0,29.0,5166.0,0.0,5195.0,5166.0,4669.0,497.0,0.0,0.0,0.0,5166.0,1.0,0.0,1.0,2048.0,0.0,2049.0,1842.0,1658.0,184.0,206.0,178.0,28.0,2048.0,7328.35,5195.0,0.709,0.0,0.0,2.0,123.0,223.0,11.0,87.0,1.0,38.0,12.0,1709.0,2675.0,154.0,761.0,0.0,0.0,16.67,7.2,8.34,7.14,11.43,0.0,100.0,0.27,99.67,0.05,0.0,0.0,0.0,1842.0,5.0,1836.0,1.0,0.0,0.0,98.97,0.0,100.0,0.71,0.16,0.11,0.05,0.0,0.0,99.73,0.22,0.05,1823.0,0.0,1842.0,13.0,3.0,2.0,1.0,0.0,0.0,1837.0,4.0,1.0,60.48,99.84,84.09,14.17,1.25,0.33,0.0,100.0,0.16,0.0,60.15,0.33,6.08,2.93,11.45,4.34,14.71,0.0,1114.0,1839.0,1549.0,261.0,23.0,6.0,0.0,1842.0,3.0,0.0,1108.0,6.0,112.0,54.0,211.0,80.0,271.0,0.0,0.16,100.0,99.62,96.96,2.66,0.11,0.0,0.11,3.0,1842.0,1835.0,1786.0,49.0,2.0,0.0,2.0
3544202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,10.0,16.0,480.0,873.0,23.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,29.0,39.0,1168.0,2224.0,57.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,15.0,19.0,605.0,864.0,27.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
