ordem_atributo,tema,campo,ano,indicador,unidade,multiplicador,fonte,codigo_indicador,url_fonte,definicao,nota,municipios_com_valor
15,pobreza_desigualdade,pobreza_desigualdade_r1040_2010,2010,Razão 10% mais ricos / 40% mais pobres (Atlas DH - Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_R1040,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_R1040')/Valores,"Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao décimo mais rico dessa distribuição com a renda capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
16,pobreza_desigualdade,pobreza_desigualdade_rdpc_2010,2010,Renda per capita média (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC')/Valores,"Razão entre o somatório da renda de todos os indivíduos residentes em domicílios particulares permanentes e o número total desses indivíduos. Valores em reais de 01/agosto de 2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
17,pobreza_desigualdade,pobreza_desigualdade_rdpc1_2010,2010,Renda domiciliar per capita média do quinto mais pobre (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC1,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC1')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
18,pobreza_desigualdade,pobreza_desigualdade_rdpc10_2010,2010,Renda domiciliar per capita média do décimo mais rico (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC10,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC10')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao décimo mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
19,pobreza_desigualdade,pobreza_desigualdade_rdpc2_2010,2010,Renda domiciliar per capita  média do 2º quinto mais pobre (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC2,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC2')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao 2º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
20,pobreza_desigualdade,pobreza_desigualdade_rdpc3_2010,2010,Renda domiciliar per capita  média do 3º quinto mais pobre (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC3,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC3')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao 3º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
21,pobreza_desigualdade,pobreza_desigualdade_rdpc4_2010,2010,Renda domiciliar per capita  média do 4º quinto mais pobre (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC4,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC4')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao 4º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
22,pobreza_desigualdade,pobreza_desigualdade_rdpc5_2010,2010,Renda domiciliar per capita média do quinto mais rico (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC5,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC5')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
23,pobreza_desigualdade,pobreza_desigualdade_theil_2010,2010,Índice de Theil-L (Atlas DH - Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_THEIL,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_THEIL')/Valores,"Mede a desigualdade na distribuição de indivíduos segundo a renda domiciliar per capita, excluídos aqueles com renda domiciliar per capita nula. É o logaritmo da razão entre as médias aritmética e geométrica da renda domiciliar per capita dos indivíduos, sendo nulo quando não existir desigualdade de renda entre eles e tendente ao infinito quando a desigualdade tender ao máximo. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
24,desenvolvimento_humano,desenvolvimento_humano_espvida_2010,2010,Esperança de vida ao nascer (Atlas DH - Censo),Anos,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_ESPVIDA,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_ESPVIDA')/Valores,"Número médio de anos que as pessoas deverão viver a partir do nascimento, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo. O indicador esperança de vida ao nascer compõe o índice da dimensão longevidade, sendo um dos 3 índices que compõem o Índice de Desenvolvimento Humano Municipal (IDHM) e sintetiza, em um único número, o nível e a estrutura de mortalidade de uma população. Dados utilizados para cálculos de indicadores que compõem as três dimensões do IDHM (Índice de Desenvolvimento Humano Municipal) que são: Longevidade, Educação e Renda. Nota: elaborado por PNUD, IPEA e FJP / Atlas do Desenvolvimento Humano no Brasil a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF  | 
 por Município .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
