ordem_atributo,tema,campo,ano,indicador,unidade,multiplicador,fonte,codigo_indicador,url_fonte,definicao,nota,municipios_com_valor
45,empresas_emprego,empresas_emprego_i143494_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Agricultura, pecuária, produção florestal, pesca e aquicultura",unidades,1.0,IBGE / Cadastro Central de Empresas,143494,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143494/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Agricultura, pecuária, produção florestal, pesca e aquicultura","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
46,empresas_emprego,empresas_emprego_i143495_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Água, esgoto, atividades de gestão de resíduos e descontaminação",unidades,1.0,IBGE / Cadastro Central de Empresas,143495,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143495/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Água, esgoto, atividades de gestão de resíduos e descontaminação","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",587
47,empresas_emprego,empresas_emprego_i143496_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Alojamento e alimentação,unidades,1.0,IBGE / Cadastro Central de Empresas,143496,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143496/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Alojamento e alimentação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",637
48,empresas_emprego,empresas_emprego_i143497_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Artes, cultura, esporte e recreação",unidades,1.0,IBGE / Cadastro Central de Empresas,143497,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143497/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Artes, cultura, esporte e recreação","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",613
49,empresas_emprego,empresas_emprego_i143498_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades administrativas e serviços complementares,unidades,1.0,IBGE / Cadastro Central de Empresas,143498,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143498/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades administrativas e serviços complementares,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
50,empresas_emprego,empresas_emprego_i143499_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades financeiras, de seguros e serviços relacionados",unidades,1.0,IBGE / Cadastro Central de Empresas,143499,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143499/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades financeiras, de seguros e serviços relacionados","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",626
51,empresas_emprego,empresas_emprego_i143500_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades imobiliárias,unidades,1.0,IBGE / Cadastro Central de Empresas,143500,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143500/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades imobiliárias,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",579
52,empresas_emprego,empresas_emprego_i143501_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades profissionais, científicas e técnicas",unidades,1.0,IBGE / Cadastro Central de Empresas,143501,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143501/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Atividades profissionais, científicas e técnicas","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",643
53,empresas_emprego,empresas_emprego_i143502_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Comércio; reparação de veículos automotores e motocicletas,unidades,1.0,IBGE / Cadastro Central de Empresas,143502,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143502/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Comércio; reparação de veículos automotores e motocicletas,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
54,empresas_emprego,empresas_emprego_i143503_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Construção,unidades,1.0,IBGE / Cadastro Central de Empresas,143503,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143503/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Construção,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",627
55,empresas_emprego,empresas_emprego_i143504_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Educação,unidades,1.0,IBGE / Cadastro Central de Empresas,143504,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143504/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Educação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",641
56,empresas_emprego,empresas_emprego_i143505_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Eletricidade e gás,unidades,1.0,IBGE / Cadastro Central de Empresas,143505,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143505/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Eletricidade e gás,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",462
57,empresas_emprego,empresas_emprego_i143506_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias de transformação,unidades,1.0,IBGE / Cadastro Central de Empresas,143506,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143506/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias de transformação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",642
58,empresas_emprego,empresas_emprego_i143507_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias extrativas,unidades,1.0,IBGE / Cadastro Central de Empresas,143507,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143507/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias extrativas,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",415
59,empresas_emprego,empresas_emprego_i143508_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Informação e comunicação,unidades,1.0,IBGE / Cadastro Central de Empresas,143508,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143508/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Informação e comunicação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",606
60,empresas_emprego,empresas_emprego_i143509_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Organismos internacionais e outras instituições extraterritoriais,unidades,1.0,IBGE / Cadastro Central de Empresas,143509,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143509/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Organismos internacionais e outras instituições extraterritoriais,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",5
61,empresas_emprego,empresas_emprego_i143510_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Outras atividades de serviços,unidades,1.0,IBGE / Cadastro Central de Empresas,143510,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143510/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Outras atividades de serviços,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
62,empresas_emprego,empresas_emprego_i143511_2024,2024,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Saúde humana e serviços sociais,unidades,1.0,IBGE / Cadastro Central de Empresas,143511,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143511/resultados/350010,Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Saúde humana e serviços sociais,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",642
63,empresas_emprego,empresas_emprego_i143512_2024,2024,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Transporte, armazenagem e correio",unidades,1.0,IBGE / Cadastro Central de Empresas,143512,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143512/resultados/350010,"Unidades locais / Classificação Nacional de Atividades Econômicas - CNAE / Transporte, armazenagem e correio","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
64,empresas_emprego,empresas_emprego_i143513_2024,2024,Número de empresas e outras organizações atuantes,unidades,1.0,IBGE / Cadastro Central de Empresas,143513,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143513/resultados/350010,Número de empresas e outras organizações atuantes,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",138
65,empresas_emprego,empresas_emprego_i143514_2024,2024,Pessoal ocupado,pessoas,1.0,IBGE / Cadastro Central de Empresas,143514,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143514/resultados/350010,Pessoal ocupado,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
66,empresas_emprego,empresas_emprego_i143516_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Administração pública, defesa e seguridade social",pessoas,1.0,IBGE / Cadastro Central de Empresas,143516,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143516/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Administração pública, defesa e seguridade social","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
67,empresas_emprego,empresas_emprego_i143517_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Agricultura, pecuária, produção florestal, pesca e aquicultura",pessoas,1.0,IBGE / Cadastro Central de Empresas,143517,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143517/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Agricultura, pecuária, produção florestal, pesca e aquicultura","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
68,empresas_emprego,empresas_emprego_i143518_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Água, esgoto, atividades de gestão de resíduos e descontaminação",pessoas,1.0,IBGE / Cadastro Central de Empresas,143518,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143518/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Água, esgoto, atividades de gestão de resíduos e descontaminação","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",569
69,empresas_emprego,empresas_emprego_i143519_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Alojamento e alimentação,pessoas,1.0,IBGE / Cadastro Central de Empresas,143519,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143519/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Alojamento e alimentação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",637
70,empresas_emprego,empresas_emprego_i143520_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Artes, cultura, esporte e recreação",pessoas,1.0,IBGE / Cadastro Central de Empresas,143520,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143520/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Artes, cultura, esporte e recreação","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",611
71,empresas_emprego,empresas_emprego_i143521_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades administrativas e serviços complementares,pessoas,1.0,IBGE / Cadastro Central de Empresas,143521,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143521/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades administrativas e serviços complementares,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",644
72,empresas_emprego,empresas_emprego_i143522_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades financeiras, de seguros e serviços relacionados",pessoas,1.0,IBGE / Cadastro Central de Empresas,143522,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143522/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades financeiras, de seguros e serviços relacionados","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",599
73,empresas_emprego,empresas_emprego_i143523_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades imobiliárias,pessoas,1.0,IBGE / Cadastro Central de Empresas,143523,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143523/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades imobiliárias,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",574
74,empresas_emprego,empresas_emprego_i143524_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades profissionais, científicas e técnicas",pessoas,1.0,IBGE / Cadastro Central de Empresas,143524,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143524/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Atividades profissionais, científicas e técnicas","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",643
75,empresas_emprego,empresas_emprego_i143525_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Comércio; reparação de veículos automotores e motocicletas,pessoas,1.0,IBGE / Cadastro Central de Empresas,143525,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143525/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Comércio; reparação de veículos automotores e motocicletas,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
76,empresas_emprego,empresas_emprego_i143526_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Construção,pessoas,1.0,IBGE / Cadastro Central de Empresas,143526,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143526/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Construção,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",627
77,empresas_emprego,empresas_emprego_i143527_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Educação,pessoas,1.0,IBGE / Cadastro Central de Empresas,143527,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143527/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Educação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",641
78,empresas_emprego,empresas_emprego_i143528_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Eletricidade e gás,pessoas,1.0,IBGE / Cadastro Central de Empresas,143528,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143528/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Eletricidade e gás,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",370
79,empresas_emprego,empresas_emprego_i143529_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias de transformação,pessoas,1.0,IBGE / Cadastro Central de Empresas,143529,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143529/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias de transformação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",642
80,empresas_emprego,empresas_emprego_i143530_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias extrativas,pessoas,1.0,IBGE / Cadastro Central de Empresas,143530,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143530/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Indústrias extrativas,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",379
81,empresas_emprego,empresas_emprego_i143531_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Informação e comunicação,pessoas,1.0,IBGE / Cadastro Central de Empresas,143531,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143531/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Informação e comunicação,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",593
82,empresas_emprego,empresas_emprego_i143532_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Organismos internacionais e outras instituições extraterritoriais,pessoas,1.0,IBGE / Cadastro Central de Empresas,143532,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143532/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Organismos internacionais e outras instituições extraterritoriais,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",3
83,empresas_emprego,empresas_emprego_i143533_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Outras atividades de serviços,pessoas,1.0,IBGE / Cadastro Central de Empresas,143533,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143533/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Outras atividades de serviços,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",644
84,empresas_emprego,empresas_emprego_i143534_2024,2024,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Saúde humana e serviços sociais,pessoas,1.0,IBGE / Cadastro Central de Empresas,143534,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143534/resultados/350010,Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Saúde humana e serviços sociais,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",635
85,empresas_emprego,empresas_emprego_i143535_2024,2024,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Transporte, armazenagem e correio",pessoas,1.0,IBGE / Cadastro Central de Empresas,143535,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143535/resultados/350010,"Pessoal ocupado / Classificação Nacional de Atividades Econômicas - CNAE / Transporte, armazenagem e correio","{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
86,empresas_emprego,empresas_emprego_i143536_2024,2024,Pessoal ocupado assalariado,pessoas,1.0,IBGE / Cadastro Central de Empresas,143536,https://servicodados.ibge.gov.br/api/v1/pesquisas/19/periodos/2024/indicadores/143536/resultados/350010,Pessoal ocupado assalariado,"{""periodo"": {""fonte"": [""IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026""], ""nota"": [], ""periodo"": ""2024"", ""versao"": 1145, ""publicacao"": ""25/06/2026 10:00:00""}, ""indicador"": []}",645
