FID,DFITFS
InventarioFlorestal2001.84,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.85,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.86,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.87,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.88,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.89,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.90,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.91,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.92,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.93,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.94,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.95,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.96,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.97,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.98,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.99,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.100,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.101,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.102,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.103,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.104,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.105,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.106,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.107,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.108,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.109,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.110,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.111,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.112,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.113,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.114,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.115,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.116,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.117,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.118,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.119,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.120,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.121,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.122,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.123,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.124,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.125,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.126,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.127,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.128,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.129,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.130,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.131,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.132,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.133,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.134,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.135,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.136,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.137,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.138,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.139,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.140,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.141,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.142,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.143,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.144,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.145,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.146,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.147,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.148,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.149,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.150,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.151,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.152,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.153,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.154,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.155,Vegetação Secundária da Floresta Ombrófila Mista
